# Model:
# Number_of_Rigid_Bodies:12
# Number_of_Frames:109
# Sampling_Frequency:100

# ***** Coordinates [m] *****
# Frame,Time,Body_1_X,Body_1_Y,Body_1_Ux,Body_1_Uy,Body_2_X,Body_2_Y,Body_2_Ux,Body_2_Uy,Body_3_X,Body_3_Y,Body_3_Ux,Body_3_Uy,Body_4_X,Body_4_Y,Body_4_Ux,Body_4_Uy,Body_5_X,Body_5_Y,Body_5_Ux,Body_5_Uy,Body_6_X,Body_6_Y,Body_6_Ux,Body_6_Uy,Body_7_X,Body_7_Y,Body_7_Ux,Body_7_Uy,Body_8_X,Body_8_Y,Body_8_Ux,Body_8_Uy,Body_9_X,Body_9_Y,Body_9_Ux,Body_9_Uy,Body_10_X,Body_10_Y,Body_10_Ux,Body_10_Uy,Body_11_X,Body_11_Y,Body_11_Ux,Body_11_Uy,Body_12_X,Body_12_Y,Body_12_Ux,Body_12_Uy
0.0,0.0,-0.024,0.9559,0.9995,0.0316,-0.0035,1.4323,0.976,-0.2177,-0.0638,1.164,0.9753,-0.2211,-0.0183,1.1668,0.9917,0.1287,-0.0882,0.9194,0.9846,0.1746,0.0675,0.9612,0.545,0.8384,0.0554,0.6378,0.8899,0.4562,-0.06,0.6202,0.9686,-0.2488,0.2209,0.3058,0.9016,0.4325,-0.1701,0.2666,0.931,-0.365,0.3693,0.1197,-0.0404,0.9992,-0.1932,0.0437,0.592,0.8059
1.0,0.01,-0.0107,0.9548,0.9995,0.0305,0.0097,1.4313,0.9767,-0.2147,-0.0496,1.1628,0.9762,-0.2168,-0.0056,1.1656,0.9926,0.1212,-0.0728,0.9182,0.9835,0.1808,0.0787,0.9595,0.5493,0.8356,0.0683,0.6366,0.8904,0.4551,-0.0485,0.6195,0.9662,-0.2579,0.2311,0.3034,0.9088,0.4171,-0.1644,0.268,0.9208,-0.39,0.3763,0.1143,-0.0155,0.9999,-0.1938,0.0454,0.6207,0.7841
2.0,0.02,0.0027,0.9539,0.9996,0.0294,0.0232,1.4305,0.9773,-0.2119,-0.0352,1.1618,0.9772,-0.2123,0.0071,1.1646,0.9937,0.1124,-0.0571,0.9171,0.9823,0.1871,0.0896,0.9578,0.5564,0.8309,0.0814,0.6357,0.8911,0.4539,-0.0364,0.619,0.9642,-0.2651,0.2408,0.3008,0.9177,0.3973,-0.1579,0.2697,0.9093,-0.4161,0.3818,0.1081,0.0161,0.9999,-0.1942,0.0473,0.6533,0.7571
3.0,0.03,0.0164,0.9533,0.9996,0.0281,0.0368,1.43,0.9779,-0.2091,-0.0205,1.161,0.9782,-0.2075,0.0199,1.1638,0.9948,0.1023,-0.041,0.9162,0.9811,0.1937,0.1003,0.9561,0.5662,0.8243,0.0946,0.6349,0.8918,0.4524,-0.0238,0.6185,0.9629,-0.2698,0.25,0.2983,0.9275,0.3739,-0.1504,0.2715,0.8963,-0.4434,0.386,0.1014,0.0528,0.9986,-0.1942,0.0494,0.6899,0.7239
4.0,0.04,0.0302,0.9528,0.9996,0.0269,0.0506,1.4296,0.9785,-0.2064,-0.0056,1.1604,0.9793,-0.2023,0.0327,1.1632,0.9958,0.0913,-0.0247,0.9156,0.9797,0.2005,0.1106,0.9544,0.5786,0.8156,0.1079,0.6343,0.8927,0.4507,-0.0105,0.6182,0.9624,-0.2716,0.2587,0.2959,0.9375,0.3479,-0.1418,0.2734,0.8819,-0.4715,0.3892,0.0946,0.0929,0.9957,-0.1937,0.0518,0.7298,0.6837
5.0,0.05,0.044,0.9525,0.9997,0.0258,0.0645,1.4294,0.9791,-0.2035,0.0094,1.16,0.9805,-0.1965,0.0454,1.1628,0.9968,0.0795,-0.0082,0.9151,0.9782,0.2076,0.1205,0.9527,0.5934,0.8049,0.1212,0.6338,0.8937,0.4487,0.0035,0.6178,0.9629,-0.2699,0.2672,0.2937,0.9474,0.3202,-0.1319,0.2754,0.8658,-0.5003,0.3916,0.0879,0.1343,0.9909,-0.1926,0.0544,0.772,0.6356
6.0,0.06,0.0579,0.9525,0.9997,0.0247,0.0782,1.4295,0.9797,-0.2006,0.0244,1.1598,0.9818,-0.1901,0.0581,1.1627,0.9977,0.0672,0.0085,0.9147,0.9766,0.2152,0.1302,0.951,0.6103,0.7921,0.1345,0.6336,0.8948,0.4464,0.018,0.6175,0.9644,-0.2643,0.2755,0.2918,0.9565,0.2916,-0.1206,0.2774,0.8483,-0.5295,0.3935,0.0817,0.175,0.9846,-0.1906,0.0572,0.8151,0.5793
7.0,0.07,0.0716,0.9526,0.9997,0.0239,0.0918,1.4297,0.9803,-0.1976,0.0394,1.1597,0.9831,-0.1829,0.0705,1.1627,0.9985,0.0548,0.0254,0.9146,0.9747,0.2234,0.1394,0.9495,0.6292,0.7773,0.1476,0.6335,0.8962,0.4437,0.0332,0.6171,0.9671,-0.2546,0.2835,0.2901,0.9648,0.2629,-0.1078,0.2794,0.8293,-0.5588,0.3951,0.076,0.2134,0.977,-0.1876,0.0604,0.8572,0.5149
8.0,0.08,0.0852,0.9529,0.9997,0.0232,0.1052,1.43,0.9809,-0.1944,0.0543,1.1598,0.9846,-0.1748,0.0828,1.1629,0.9991,0.0423,0.0424,0.9146,0.9726,0.2324,0.1483,0.948,0.6495,0.7603,0.1606,0.6335,0.8978,0.4405,0.049,0.6168,0.9706,-0.2406,0.2913,0.2886,0.972,0.2348,-0.0933,0.2814,0.8091,-0.5877,0.3966,0.0711,0.2478,0.9688,-0.1834,0.0641,0.8962,0.4436
9.0,0.09,0.0986,0.9533,0.9997,0.0227,0.1183,1.4306,0.9815,-0.1913,0.069,1.1601,0.9862,-0.1658,0.0948,1.1633,0.9995,0.0301,0.0594,0.9148,0.9702,0.2424,0.1568,0.9467,0.6711,0.7414,0.1733,0.6336,0.8997,0.4366,0.0654,0.6165,0.975,-0.2224,0.2989,0.2874,0.9782,0.2079,-0.0773,0.2835,0.7878,-0.6159,0.398,0.0668,0.2773,0.9608,-0.1777,0.0682,0.9302,0.3671
